nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
14:48:25 train - loss: 0.0014, acc: 1.0000
14:48:31 valid - loss: 0.1751, acc: 0.9581
Epoch 181, lr 0.010293
14:49:43 train - loss: 0.0014, acc: 1.0000
Epoch 182, lr 0.009297
14:50:55 train - loss: 0.0015, acc: 1.0000
Epoch 183, lr 0.008351
14:52:07 train - loss: 0.0014, acc: 1.0000
Epoch 184, lr 0.007454
14:53:19 train - loss: 0.0014, acc: 1.0000
Epoch 185, lr 0.006608
14:54:31 train - loss: 0.0014, acc: 1.0000
14:54:37 valid - loss: 0.1702, acc: 0.9577
Epoch 186, lr 0.005812
14:55:50 train - loss: 0.0013, acc: 1.0000
Epoch 187, lr 0.005066
14:57:02 train - loss: 0.0013, acc: 1.0000
Epoch 188, lr 0.004370
14:58:14 train - loss: 0.0014, acc: 1.0000
Epoch 189, lr 0.003726
14:59:26 train - loss: 0.0013, acc: 1.0000
Epoch 190, lr 0.003132
15:00:38 train - loss: 0.0014, acc: 1.0000
15:00:44 valid - loss: 0.1694, acc: 0.9569
Epoch 191, lr 0.002590
15:01:56 train - loss: 0.0014, acc: 1.0000
Epoch 192, lr 0.002099
15:03:08 train - loss: 0.0014, acc: 1.0000
Epoch 193, lr 0.001659
15:04:21 train - loss: 0.0014, acc: 1.0000
Epoch 194, lr 0.001270
15:05:33 train - loss: 0.0014, acc: 1.0000
Epoch 195, lr 0.000934
15:06:45 train - loss: 0.0014, acc: 1.0000
15:06:51 valid - loss: 0.1684, acc: 0.9582
Epoch 196, lr 0.000649
15:08:03 train - loss: 0.0014, acc: 1.0000
Epoch 197, lr 0.000415
15:09:15 train - loss: 0.0014, acc: 1.0000
Epoch 198, lr 0.000234
15:10:27 train - loss: 0.0014, acc: 1.0000
Epoch 199, lr 0.000104
15:11:39 train - loss: 0.0014, acc: 1.0000
Epoch 200, lr 0.000026
15:12:51 train - loss: 0.0014, acc: 1.0000
15:12:57 valid - loss: 0.1704, acc: 0.9575
